OBJECTID,SCHOOL_NAM,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN,PCT90
1,ANNANDALE,1,24353.000000000000000,21917700.000000000000000,11,95,84,26.931918038845318,10.660927054802471,655873.000000000000000,15,21,95,22,41
2,CENTREVILLE,2,44883.000000000000000,40394700.000000000000000,11,95,84,33.616046164472074,17.957949284571374,1508789.000000000000000,15,21,95,23,43
3,CHANTILLY,3,29821.000000000000000,26838900.000000000000000,11,90,79,26.318936320042923,10.836390998029742,784857.000000000000000,13,22,11,22,41
4,EDISON,4,33491.000000000000000,30141900.000000000000000,11,95,84,25.598578722641903,10.896796672864651,857322.000000000000000,14,22,95,22,41
5,FAIRFAX,5,30152.000000000000000,27136800.000000000000000,11,95,84,29.530213584505173,11.661944280259537,890395.000000000000000,15,41,95,23,41
6,FALLS CHURCH,6,29195.000000000000000,26275500.000000000000000,11,90,79,28.466792258948448,13.854812642729339,831088.000000000000000,14,21,82,22,41
7,HAYFIELD,7,28219.000000000000000,25397100.000000000000000,11,95,84,30.466458768914560,17.516645759713171,859733.000000000000000,15,22,42,22,43
8,HERNDON,8,29701.000000000000000,26730900.000000000000000,11,95,84,25.735901148109491,11.306698600304705,764382.000000000000000,15,22,82,22,41
9,JUSTICE,9,24240.000000000000000,21816000.000000000000000,11,95,84,26.663531353135312,9.726367147737193,646324.000000000000000,14,21,95,22,41
10,LAKE BRADDOCK,10,50119.000000000000000,45107100.000000000000000,11,95,84,32.568686526067957,14.214795185844309,1632310.000000000000000,15,41,82,24,43
11,LANGLEY,11,127010.000000000000000,114309000.000000000000000,11,95,84,35.918565467286044,15.397346621757176,4562017.000000000000000,15,41,82,41,43
12,LEWIS,12,32382.000000000000000,29143800.000000000000000,11,95,84,27.193131986906305,11.651306960181001,880568.000000000000000,15,22,82,23,41
13,MADISON,13,41079.000000000000000,36971100.000000000000000,11,95,84,33.158645536648898,16.384633688656571,1362124.000000000000000,15,21,82,23,43
14,MARSHALL,14,34657.000000000000000,31191300.000000000000000,11,95,84,28.509363187811985,14.428615064271581,988049.000000000000000,15,21,95,22,41
15,MCLEAN,15,36660.000000000000000,32994000.000000000000000,11,90,79,27.807037643207856,11.620265825633064,1019406.000000000000000,14,21,82,22,41
16,MOUNT VERNON,16,66038.000000000000000,59434200.000000000000000,11,95,84,39.294905963233290,23.546124221911327,2594957.000000000000000,15,41,31,41,90
17,OAKTON,17,44529.000000000000000,40076100.000000000000000,11,95,84,31.400076354735116,14.468556224442128,1398214.000000000000000,15,21,82,22,43
18,ROBINSON,18,99078.000000000000000,89170200.000000000000000,11,95,84,35.972062415470639,13.588853656900350,3564040.000000000000000,15,41,82,41,43
19,SOUTH COUNTY,19,91654.000000000000000,82488600.000000000000000,11,95,84,42.614561284832085,22.211913252696458,3905795.000000000000000,15,41,42,41,90
20,SOUTH LAKES,20,49187.000000000000000,44268300.000000000000000,11,95,84,30.384715473600750,14.200090448646151,1494533.000000000000000,15,21,95,23,43
21,WEST POTOMAC,21,34213.000000000000000,30791700.000000000000000,11,95,84,28.781866541957736,17.198740020357953,984714.000000000000000,15,22,71,22,43
22,WEST SPRINGFIELD,22,24852.000000000000000,22366800.000000000000000,11,90,79,29.504385964912281,15.595554852509935,733243.000000000000000,14,22,82,22,41
23,WESTFIELD,23,86905.000000000000000,78214500.000000000000000,11,95,84,34.905977791841664,19.792206532876655,3033504.000000000000000,15,21,95,23,81
24,WOODSON,24,50780.000000000000000,45702000.000000000000000,11,95,84,32.428397006695548,14.860093668694882,1646714.000000000000000,15,41,82,23,43
25,THOMAS JEFFERSON,25,179.000000000000000,161100.000000000000000,21,31,10,22.217877094972067,1.775851032581933,3977.000000000000000,5,21,31,22,23
